position,location,job_type,salary,description,requirement,qualification
Contract / Temporary,"Calgary, AB",Change Management Consultant,DOE,"Robert Half is recruiting now for an experienced Change Management Consultant to fulfill an exciting temporary/contract role with our Calgary Client. As the successful Candidate you will be accountable for the implementation of the client’s redesigned intake process, align the redesigned website with that process, as well as ensure the implementation and integration of the newly developed CRM platform is successfully done. You will utilize your in-depth knowledge of change management to make recommendations to optimize the system, processes, and procedures. This role is located in Calgary, AB., but is open to hybrid remote work (work from home/work from office) concessions for eligible candidates.
WHAT YOU’LL GET:
The opportunity to work for a well-respected company, a competitive wage while working in a fun, fast-paced and diverse work environment. You will have the exceptional opportunity to make a positive impact on the stakeholders you work with and a chance to grow your skill set. If you are looking for a role to further your career and you possess the qualifications we require, please submit your resume online today!","MUST HAVES:
3 + years in a similar role with strong experience performing change management duties within projects
Proficiency in change management methodology, tools, and communications techniques
Solid experience in projects that involve people and technology. Large-scale, complex projects are an asset
Working experience in performing change management duties within projects, with knowledge of project management methodologies and techniques, and critical success factors
Exceptional communication and interpersonal skills, both verbal and written
Strong analytical skills with attention to detail with excellent organizational and time management skills and the ability to adapt to changing and competing priorities
Post-secondary Degree/Diploma in relatable area (Business Planning/Project Execution/Processes etc.)
This position will remain open until a suitable candidate is selected. If you have the qualifications we are looking for, please submit your resume online today referencing JO # 05000-0012561278 on all communications.
 ",Specialization : Technology
Contract / Temporary,"Edmonton, AB",Business Analyst,"$100,000.00 - $110,000.00 / Yr","Robert Half is currently seeking a Senior Application and Business Analyst for our Edmonton Client. As the successful Candidate you will be responsible for effective software support and service the Help Desk to provide support for a broad portfolio of business applications.
Your solid technical ability and strong analytical, troubleshooting, and problem-solving skills combined with excellent customer service commitment will help you contribute to the team and deliver support. This role is located in Edmonton, AB.
WHAT YOU’LL GET:
The opportunity to work for a well-respected company, a competitive salary including group benefits and the ability to grow your career in a supportive work/life balance environment. If this sounds like the career step you’ve been looking for and you have the qualifications required, please submit your resume online today.","MUST HAVES:
5 + years of experience in a similar role with recent and in-depth knowledge of application support
Solid technical knowledge with demonstrated ability in business analysis to manage change to new systems and processes that increase efficiency and effectiveness
Proficient knowledge and working ability with cloud solutions and software as a service (SaaS)
Hands-on knowledge and ability with Microsoft Power Platform and SharePoint
Skilled in SQL reporting and queries, document and records management, process gap mapping & analysis, business Process Management (BPM) and process/workflow mapping
Strong commitment to exceptional customer service
Excellent interpersonal and communication skills with the ability to interact with different levels and types of users
Ability to manage multiple projects and assignments and prioritize projects
Experience with Yardi is a definite asset
Post-secondary Degree/Certificate in Computer Science, Information Technology, or equivalent experience/education
This position will remain open until a suitable candidate is selected. If you have the qualifications we are looking for, please submit your resume online today. Please quote reference # 05110-9503598888 on all communication",Specialization : Technology
Contract / Temporary,"Montréal, QC",Conseiller principal en changement organisationnel,$65.00 - $75.00 / Hr,"Rôle
Rattaché au Gestionnaire de la transformation, vous aurez les responsabilités suivantes :

Dans le cadre de l'équipe de transformation, travaillant en tant que spécialiste du changement dédié avec nos équipes Agiles interfonctionnelles pour développer et piloter tous les artefacts liés au changement et les étapes de changement, de la préparation au maintien du changement. 
Développer et mettre en œuvre des visions du changement le rôle du changement dans la Charte Agile développer des mesures et suivre tout au long du programme défini pour les équipes Agiles. 
Élaborer et mettre en œuvre des évaluations d'impact détaillées appuyées par des plans d'action. 
Élaborer et mettre en œuvre des plans, y compris la formation et l'encadrement des intervenants en matière d'engagement de communication. 
Contribuer à l'exécution des stratégies de transformation pour s'assurer que la gestion du changement a été prise en compte et conduit le changement d'entreprise pour IST. Contribuer à l'exécution des stratégies de communication interne et externe, y compris soutenir nos spécialistes en communication avec le contenu des équipes agiles. Compréhension et conscience de travailler sur plusieurs fuseaux horaires pour livrer.
 Objectifs
Nous recherchons un conseiller principal en changement organisationnel pour rejoindre l'équipe de transformation. Le programme de transformation est chargé d'orchestrer un changement de modèle opérationnel dans la fonction Global IST en développant et en mettant en œuvre de nouvelles méthodes de travail et de culture et en mettant en œuvre des technologies qui deviendront la base de la numérisation de. Le rôle se concentrera sur la réalisation de toutes les activités de gestion du changement liées au programme de transformation pour les régions Amériques et EMEA, y compris les visions du changement, les évaluations d'impact, la préparation au changement pour les parties prenantes, la gestion des risques et des communications liés au changement. Dans ce rôle, vous ferez partie d'une équipe répartie dans le monde entier qui conduit le changement dans notre façon de travailler et contribue au développement de la culture et de l'état d'esprit pour réussir dans un environnement technique complexe. Vous rapporterez au programme Change Manager situé à Perth Western Australia
 ","Qualifications
10 ans d'expérience dans la conduite du changement en tant que poste dédié dans le cadre de programmes stratégiques. Expérience avérée dans la mise en œuvre de programmes complexes de changement organisationnel et d'adoption culturelle. Un baccalauréat en psychologie ou dans une discipline/domaine connexe. Adhésion professionnelle active auprès d'un organisme industriel reconnu. Compréhension des cadres agiles et de la gestion du changement pour la mise en place de méthodes de travail au sein d'une fonction technologique. ",Specialization : Interim Project-Based Financial
Permanent,"Westmount, QC",Analyste des systèmes d'affaires,"$75,000.00 - $100,000.00 / Yr","Notre client est un gestionnaire d'investissements financiers spécialisés, qui fournit des capitaux et un soutien à des entreprises révolutionnaires. Nous fournissons des facilités créatives et flexibles basées sur des actifs utilisés pour financer l'origination de prêts et d'autres garanties. Nous travaillons généralement avec des entreprises pour fournir des financements à partir de 25 millions de dollars et en augmentant considérablement par la suite.
Description du poste;
L'analyste des systèmes d'affaires travaille avec les utilisateurs, le personnel informatique interfonctionnel et les fournisseurs pour mettre en œuvre et faciliter l'administration des systèmes de base et/ou les solutions technologiques et logicielles. Ce rôle exige la capacité de saisir les besoins de l'entreprise et de configurer les attributs du système pour répondre à ces besoins. Il participe à la planification, à la gestion, à la conception, à la documentation et à la mise en œuvre des projets.
Responsabilités;
- Effectuer une analyse approfondie des systèmes, des documents connexes et d'autres sources d'information pour comprendre les besoins de l'unité opérationnelle;
- Analyser les systèmes et processus actuels, identifier les tendances, faire des recommandations pour la modernisation et les améliorations en ce qui concerne les personnes, les processus et la technologie;
- Recueillir, examiner, analyser, évaluer et hiérarchiser les besoins de l'entreprise;
- Agir en tant qu'intermédiaire entre l'entreprise et l'informatique, ou le fournisseur, dans le déploiement des logiciels;
- Optimiser les logiciels SaaS pour automatiser et rationaliser les flux de travail au sein de l'organisation;
- Responsable du développement, de la conversion, de l'installation et/ou de la maintenance des applications;
- Collaborer au sein d'une équipe pour assurer la stabilité, l'intégrité et le fonctionnement efficace des systèmes d'entreprise;
- Aider à la modification et à la configuration des systèmes pour répondre aux besoins et aux exigences de l'entreprise;
- Gestion des services de notre partenaire informatique et des CRM;
- Assurer la liaison entre le personnel technique et les groupes d'utilisateurs;
- Aider à la mise en œuvre des plans d'essai développés, soutenir les essais, c'est-à-dire l'acceptation par l'utilisateur, la performance, la sécurité et la convivialité;
- Possibilité de développer des rapports personnalisés pour répondre aux besoins des utilisateurs.","Compétences requises;
- Baccalauréat en informatique, en systèmes d'information de gestion ou dans un domaine connexe;
- Compétences interpersonnelles, écrites, de communication, de présentation et d'organisation développées;
- Bonne compréhension de la manière d'interpréter les besoins commerciaux et de les traduire en exigences applicatives et opérationnelles;
- Familiarité avec la mise en œuvre, l'assurance qualité, le contrôle de la qualité, la normalisation, la gestion du changement.",Specialization : Technology
Permanent,"North Vancouver, BC",Ability Management Specialist,"$80,000.00 - $90,000.00 / Yr","If you are passionate about injury/disability/ability management, I have a seriously attractive opportunity on my desk right now. We have partnered with a well-known employer in North Vancouver to find their next Ability Management Specialist, this could be you.
 Here is what we're looking for: Relationship builder; Stellar communication skills; Great time management and the ability to prioritize.

Here is what you'll get: Very competitive compensation package, an ambitious and growth-focused team, and the ability to contribute to the wellness of the overall business.
 You will be required to:
 Craft and assess graduated return to work schedules, conduct weekly updates and communicate with stakeholders.
Serve as point of contact in addressing health concerns, answering questions and providing treatment options and referrals as required.
Support other departments in analyzing physical demands and risks of the job.
Facilitates WorkSafe BC processes.
Assists in implementing new programs and processes related to return to work.
Promotes employee health and ensures the best outcomes for injured and ill employees.
 ","Here is what you will need:
Completion of a Return to Work Coordinator or Disability Management Certificate through NIDMAR or CARMHA.
Bachelor’s degree in Kinesiology or health related field desirable.
Minimum 3 years of experience in Disability Case Management in a heavy industrial environment including experience in ergonomics and risk/assessment.
Experience in OSH policy development, revision and implementation.
Knowledge of Privacy legislation related to preparing, disclosing and handling information of a confidential and/or sensitive nature.
Knowledge of WorkSafeBC Regulations, Occupational Health and Safety Legislation and Canada Labour Code.
Experience working with unionized employees, preparing medical questionnaires/interpreting medical to identify appropriate medical accommodations, experience with attendance wellness management.
Knowledge in ergonomics and risk/assessment.
 If you feel that this role aligns with your experience and ambitions, I would love to hear from you! Please reference job number 05060-0012519880 in all correspondence",Specialization : Finance and Accounting
Contract / Temporary,"Calgary, AB",Solution Data Analyst,DOE,"Robert Half is currently recruiting for an experienced Solution Data Analyst to fulfill a temporary/contract role. As the successful candidate for the position you will be responsible for designing, developing and maintaining data and reporting solutions. If you possess excellent data modelling skills along with a “self-starter” attitude with an analytical mind and are looking to progress your career this could be the role for you! This position is located in Calgary, AB.
WHAT YOU’LL GET:
Our client offers a competitive wage and the opportunity to work in a challenging team-oriented environment while increasing your skillset and moving your career forward. If you think you have what it takes to join this recognized and innovative organization, please submit your details online today!","MUST HAVES:
2+ years’ experience in data management, data warehousing, or other data environments, including but not limited to, working in Enterprise systems  (SAP, ECC, Oracle, EBS) and/or similar
Proficient working experience with Power BI to create report and dashboard designs and templates
Proven working experience in designing modeling and reporting on a native HANA Database Warehouse (not ERP)
Working proficiency with HANA data modelers to create reports and conduct unit testing
Strong experience in business analysis in data/reporting context
Hands-on experience with project management and ability to provide user training
Experience in providing technical or functional support of system integrations/interfaces
Excellent oral, written, and interpersonal communication skills and a clear ability to build relationships with stakeholders at all levels
Analytical thinker who is passionate, creative, and driven to succeed
Post-Secondary Degree in Computer Science or equivalent
This position will remain open until a suitable candidate is selected. Please submit your resume today! Please quote referenced # 05000-0012576325 on all communication.
“The job you want is just an app away. Whether remote or on-site, search for a job you’ll love with the Robert Half app. Download on the App Store, get it on Google Play or visit our website”
   ",Specialization : Technology
Contract / Temporary,"Calgary, AB",Financial Analyst - Entry Level,DOE,"Robert Half is currently recruiting for an experienced Solution Data Analyst to fulfill a temporary/contract role. As the successful candidate for the position you will be responsible for designing, developing and maintaining data and reporting solutions. If you possess excellent data modelling skills along with a “self-starter” attitude with an analytical mind and are looking to progress your career this could be the role for you! This position is located in Calgary, AB.
WHAT YOU’LL GET:
Our client offers a competitive wage and the opportunity to work in a challenging team-oriented environment while increasing your skillset and moving your career forward. If you think you have what it takes to join this recognized and innovative organization, please submit your details online today!","MUST HAVES:
2+ years’ experience in data management, data warehousing, or other data environments, including but not limited to, working in Enterprise systems  (SAP, ECC, Oracle, EBS) and/or similar
Proficient working experience with Power BI to create report and dashboard designs and templates
Proven working experience in designing modeling and reporting on a native HANA Database Warehouse (not ERP)
Working proficiency with HANA data modelers to create reports and conduct unit testing
Strong experience in business analysis in data/reporting context
Hands-on experience with project management and ability to provide user training
Experience in providing technical or functional support of system integrations/interfaces
Excellent oral, written, and interpersonal communication skills and a clear ability to build relationships with stakeholders at all levels
Analytical thinker who is passionate, creative, and driven to succeed
Post-Secondary Degree in Computer Science or equivalent
This position will remain open until a suitable candidate is selected. Please submit your resume today! Please quote referenced # 05000-0012576325 on all communication.
“The job you want is just an app away. Whether remote or on-site, search for a job you’ll love with the Robert Half app. Download on the App Store, get it on Google Play or visit our website”
   ",Specialization : Technology
Contract / Temporary,"Markham, ON",Billing & Settlements Analyst,$21.00 - $24.00 / Hr,"Robert Half is seeking a Billing & Settlements Analyst for a 6-month contract located in Markham, Ontario!

Robert Half is urgently looking to fill a Billing & Settlements Analyst position with one of our top clients in the Utilities/Infrastructure industry. This will be a 6 month contract located fully on site in Markham, Ontario. If finance piques your interest, start your new career as a Billing Clerk for an exciting firm! In this role you will work as an important part of the Billing & Settlements team, processing payments, setting up new accounts, and working with external clients. Highly-proactive candidates with strong initiative, communication, and technical skills will do best in this role. Contact us today to find out more.

How you will make an impact:
Operate closely with other functional teams to certify data quality and consistency
Establish financial controls and procedures
Gauge billing documents and other data for accuracy and completeness, acquiring missing or correct data when necessary
Examine, evaluate, and process invoices or bills for services rendered
Handling client escalations and resolving client reconciliation requests
Communicating recommendations, improvements, and controls to the Billing & Settlements process
Processing payments, invoices, adjustments, and deposits
Ensuring resident bills are accurate and generated in accordance to the established bill cycles","1+ years of Billing experience preferred, but not required
Utility, Telecom Industry Experience is an asset
Advanced Microsoft Excel experience desired
Sufficient knowledge in spreadsheets, internet applications and ERP systems
Excellent written, verbal and social communication skills
Data entry, document management, file creation and previous records experience required
Bachelor's degree in accounting or finance
Detail oriented, analytical, and inquisitive

Please only apply to this Billing & Settlements Analyst position if you are looking for contract opportunities in the Markham, Ontario area and are available to start immediately.",Specialization : Finance & Accounting
Contract / Temporary,"Mississauga, ON",Desktop Support Analyst,DOE,"If you're looking for work as a Desktop Support Technician, and have a flair for clearly breaking down and explaining convoluted technical information in a way that is easily understood by non-technical users, you might be right for Robert Half's new job opening. You will thrive in this position if you consider yourself to be a self-starter with strong problem-solving skills and a passion for working in an innovative environment. This Desktop Support Analyst role is a Part Time long-term contract / temporary opportunity based in the Mississauga, Ontario, area.

Major responsibilities

- Support records of daily data communication transactions, issues and remedial actions taken or installation activities

- Be in contact regularly and effectively with ticket submitters

- Preserve, inspect, and mend computer systems, hardware, printers, and computer peripherals

- Fix computer problems, and recommend appropriate action/solutions

- Offer computer desktop support in accordance with established policies and procedures

- Match hardware repairs with the appropriate vendors

- Administer support on a variety of computer hardware and software issues by identifying, researching, and resolving technical problems","- 3+ years of desktop support or other related experience

- Knowledgeable when it comes to writing reports, business correspondence, user instructions, and procedure manuals

- Solid understanding of switches and routers

- Hands on working experience with Office 365, Active Directory",Specialization : Technology
Permanent,"Calgary, AB",Junior Financial Analyst,DOE,"Our established client in Calgary is currently seeking a Junior Financial Analyst to join their focused team.

As the Junior Financial Analyst your day to day responsibilities of this role may include, but not be limited to:

Assist in the preparation of financial reports
Cheque runs
Generating EFT payments
Reconciliations
Monitor variances, track receivables, and follow up on discrepancies
Consolidating and analyzing financial data
Providing creative alternatives and recommendations to reduce costs and improve financial performance
Journal Entries
Reconciliations
Maintaining confidential financial information","Play a vital role as a Junior Financial Analyst with our client. The successful Junior Financial Analyst will possess the following:

Previous experience as a Junior Financial Analyst
Excellent computer skills are required, particularly Microsoft Excel and other financial software expertise
Strong Communication and Interpersonal skills
Exceptional attention to detail
To apply for this Junior Financial Analyst opportunity, please click the ""APPLY NOW"" Link located above. For any questions regarding this position, please contact Robert Half Talent Solutions at 403.237.9363. Be sure to reference JO# 05000-0012572823 in all communication",Specialization : Finance and Accounting
Permanent,"Niagara Falls, ON",Accounting Clerk,"$60,000.00 - $70,000.00 / Yr","The Company

The company in the Niagara region is looking to add a Accounting Coordinator/Analyst to their team. They are family owned and operated with over 100 years of service and are passionate about building strong relationships with their customers, suppliers and industry partners by delivering outstanding service and value.

The Role

Searching for a Accounting Coordinator/Analyst who will be is responsible for reporting and analysis, providing financial support to the business, inventory analysis, performance analysis, account reconciliations, journal entries and other duties as assigned while ensuring all financial activities are in line with company goals and objectives, in conformity with generally accepted accounting principles, and complying with government regulations and corporate policies & procedures.
 More specifically, you will:
·      Preparation of financial reports and analysis maintaining accounting data integrity in accordance with Generally Accepted Accounting Principles
·      Inventory reporting and analysis
·      Involvement in physical inventory counts
·      Involvement in business systems management and reporting
·      Review financial processes and internal controls and recommend improvements
·      Drive the reporting and development of performance metrics
·      Prepare analyses as required by management. These include variance analysis, justifications for expenditures and analysis of trends
·      Reconciliation of accounts and journal entries to ensure accuracy of accounts
·      Continuous process improvements as it relates to the business and accounting function
·      Liaise with other functional managers and staff as required
·      Perform other duties as required","·      4+ years’ experience in increasingly progressive financial accounting or analytical roles
·      Demonstrated experience working with senior management teams
·      Experience working either the construction or manufacturing sectors would be an asset
·      Bachelor’s degree in accounting or finance
·      Accounting designation (CPA) or enrollment - preferred",Specialization : Finance and Accounting
Permanent,"Niagara Falls, ON",Accounting Clerk,"$60,000.00 - $70,000.00 / Yr","The Company

The company in the Niagara region is looking to add a Accounting Coordinator/Analyst to their team. They are family owned and operated with over 100 years of service and are passionate about building strong relationships with their customers, suppliers and industry partners by delivering outstanding service and value.

The Role

Searching for a Accounting Coordinator/Analyst who will be is responsible for reporting and analysis, providing financial support to the business, inventory analysis, performance analysis, account reconciliations, journal entries and other duties as assigned while ensuring all financial activities are in line with company goals and objectives, in conformity with generally accepted accounting principles, and complying with government regulations and corporate policies & procedures.
 More specifically, you will:
·      Preparation of financial reports and analysis maintaining accounting data integrity in accordance with Generally Accepted Accounting Principles
·      Inventory reporting and analysis
·      Involvement in physical inventory counts
·      Involvement in business systems management and reporting
·      Review financial processes and internal controls and recommend improvements
·      Drive the reporting and development of performance metrics
·      Prepare analyses as required by management. These include variance analysis, justifications for expenditures and analysis of trends
·      Reconciliation of accounts and journal entries to ensure accuracy of accounts
·      Continuous process improvements as it relates to the business and accounting function
·      Liaise with other functional managers and staff as required
·      Perform other duties as required","·      4+ years’ experience in increasingly progressive financial accounting or analytical roles
·      Demonstrated experience working with senior management teams
·      Experience working either the construction or manufacturing sectors would be an asset
·      Bachelor’s degree in accounting or finance
·      Accounting designation (CPA) or enrollment - preferred",Specialization : Finance and Accounting
